doc_id,text,
92,Hindistan'da üst geçit çöktü: 18 ölü! https://t.co/syBwYGG1AX https://t.co/mgGSfnYELc,
93,Seren Serengil'in eski sevgilisiyle Yaşar İpek arasında kıskançlık davası! https://t.co/xeYfuMMClY https://t.co/KOhVYctqaV,
94,Mısır Çarşısı'nın çifte dervişi geri döndü... https://t.co/A5b6S7Jffh https://t.co/u9pwYKe8Ag,
95,7 Mayıs''ta beyin ölümü gerçekleşen Salih Mirzabeyoğlu vefat etti... https://t.co/wuYfKiDco8 https://t.co/Yps5HX4RVq,
96,Endonezya'da polis merkezine bıçaklı saldırı! https://t.co/mvOwlgeTQ1 https://t.co/EWAzpFNXzc,
97,Merkez Bankası'ndan dolardaki harekete ilişkin açıklama... https://t.co/W8awZdoEJA https://t.co/LRdeuSykxs,
98,İsmailağa Cemaati'nde 'marka' kavgası... https://t.co/vNJQOTH9Z8 https://t.co/NqJR7ptAxy,
99,Sivas merkeze bağlı Olukman köyünde yaşayan Gökçe ailesinin evinden 130 yıl sonra ilk kez gelin çıktı... https://t.co/I05l7IYGRA,
100,Benzin ve motorine yeni zam gündemde! https://t.co/4FEZ2GaPf6 https://t.co/UTUo4LCK18,
101,Güvenlik Şube Müdürlüğü'ne bağlı polisler Barış Atay'ı gözaltına aldı... https://t.co/2s0sOF5gKt https://t.co/WQLYyxRnBs,
102,#SONDAKİKA... MERKEZ BANKASI'NDAN DOLAR AÇIKLAMASI: PİYASALARDA GÖZLENEN SAĞLIKSIZ FİYAT OLUŞUMLARI YAKINDAN TAKİP EDİLMEKTEDİR. GELİŞMELERİN ENFLASYON GÖRÜNÜMÜ ÜZERİNDEKİ ETKİLERİ DE DİKKATE ALINARAK GEREKLİ ADIMLAR ATILACAKTIR.,
103,DEAŞ'ın füzecisi Adana'da atık toplarken yakalandı https://t.co/2swbGZcaji https://t.co/Bl2O2buq2t,
104,Ramazan için Gaziantep'ten İstanbul'a gelen Çığcı ailesi 25 yıldır Avcılar'da ramazan davulculuğu yapıyor... 1 aylık emeklerinin karşılığı ise sadece topladıkları bahşiş... @basakcubukcu'nun #ÖzelHaber'i https://t.co/neYmSCj17S,
105,Anadolu Farm firmasına üye topladığı ileri sürülen şüpheli gözaltına alındı... https://t.co/vny6DXOtdZ https://t.co/qFkKjaJ4TQ,
106,Kürdan ağırlığında robot böcek üretildi https://t.co/mQ1vvm82r2 https://t.co/tb5Lb5zj8q,
107,"Büyükelçi gitti, başkonsolosa da yol göründü... https://t.co/1TJYUHQqbA https://t.co/kbILYAMSFw",
108,Baklavacılar isyan etti: Bir şartla baklava yaparız... https://t.co/3Yvd36aPnx https://t.co/m7IFkwZt1v,
109,Futbolculara dayak! Taraftarlar antrenmanı bastı... https://t.co/4G6fRLhIPK https://t.co/7plTlsSu40,
110,"Habertürk TV, DAEŞ terör örgütünün direncinin kırıldığı yer olan #ÂkilDağı'nda.
@muhabir_murat'ın hazırlayıp sunduğu Âkil Dağı özel dosyası Perşembe gün boyu Habertürk TV'de https://t.co/v8sIRjCpCd",
111,Güneşin erittiği kadın organlarını bir bir kaybediyor! https://t.co/91LzQ0l2sw https://t.co/Hund15tt5D,
112,Avukat 'FETÖ propagandası'ndan tutuklandı https://t.co/yWiDLYspuw https://t.co/yrYP3cg4Wt,
113,Türkiye'de gençlerin ne kadarı mutlu? https://t.co/W8eRRXCNKH https://t.co/YDDBRwnZIf,
114,Uzmanlar uyardı! Bugünden itibaren Türkiye çöl tozu etkisinde kalacak... https://t.co/nVRWB3sfhy https://t.co/nTvrmo5LvO,
115,FETÖ'ye 'ankesörlü telefon' operasyonu... https://t.co/IknGWJQAG1 https://t.co/SajzD0ZD8S,
116,"Beşiktaş ve Trabzonspor, Sosa için rotayı çizdi: Takas formülü! https://t.co/gtK5VaABMx https://t.co/hHtJYsD4tI",
117,Kanada Başbakanı Trudeau'dan Ramazan mesajı... https://t.co/105FvdwWvc https://t.co/JEZ13seDtV,
118,Her 10 kişinin 3'ü hipertansiyon hastası https://t.co/tLSKPZ2X7O https://t.co/Py7TKiMs8N,
119,Onları toplayabilmek için ayılarla yarışıyorlar! https://t.co/1WPvdwKyo4 https://t.co/AW7ww8JdNB,
120,Görenler çok şaşırıyor! Bu ekmeğin tanesi 80 TL https://t.co/lM6Yj0Di1o https://t.co/rfA0rg6E4G,
121,ABD'den sonra bir ülke daha Kudüs'te büyükelçilik açtı... https://t.co/0U6FZhBV8e https://t.co/HoW7cwgeW2,
122,En yüksek hacimli ilk 100 kripto paradan 93'ü düştü! İşte düşüş oranları... https://t.co/fA5sibkT0n https://t.co/Gc6QkV6uRv,
123,Saplantılı hayranı korkuttu... 12 saat evinde kaldı! https://t.co/R7tfGPMh5d https://t.co/Y1MY6gvKkE,
124,Zonguldak'ta kömür ocaklarında çalışan işçiler yerin metrelerce altında ilk sahurlarını yaptı... https://t.co/VcStEonqYT,
125,Whatsapp bu sabah değişti! https://t.co/yHS5LehDnt https://t.co/LIqXxYqnif,
126,"Fırat Kalkanı harekatının en zorlu bölümü El Bab'daki Akil Dağı'nın ele geçirilmesinde adeta kahramanlığın hikayesi yazıldı... Ekibimizden @muhabir_murat, TSK'nın üssünün bulunduğu Akil Dağı'na giren ilk televizyon ekibi oldu ve o gün yaşananların izini sürdü... #ÖzelHaber https://t.co/DCrl4ZNvEA",
127,O hattın metrosu da sürücüsüz olacak! https://t.co/f2se4YUl0L https://t.co/ip4M6MjwV2,
128,Bir kadın cinayetinin anatomisi! Bir anlık öfke değil planlı ‘töre’ cinayeti... https://t.co/j6hmA3nnWJ https://t.co/I3sf2yeQpg,
129,Bir salyangozun hücre hafızası bir başka salyangoza nakledildi... https://t.co/uNEQtQPXp1,
130,"Son bilgilerin alındığı, uçuşun her saniyesinin hesaplandığı Pilotlar Odası kapılarını muhabirimiz @Serkantahmaz'a açtı... https://t.co/U2kPoAItGH",
131,Hindistan'da üst geçit çöktü: 18 ölü! https://t.co/syBwYGG1AX https://t.co/7cFpy2sozC,
132,Seren Serengil'in eski sevgilisiyle Yaşar İpek arasında kıskançlık davası! https://t.co/xeYfuMMClY https://t.co/HLuUzHYYRI,
133,Mısır Çarşısı'nın çifte dervişi geri döndü... https://t.co/A5b6S7Jffh https://t.co/AyBkpgySyX,
134,Endonezya'da polis merkezine bıçaklı saldırı! https://t.co/mvOwlgeTQ1 https://t.co/8cT0aRLbBK,
135,İsmailağa Cemaati'nde 'marka' kavgası... https://t.co/vNJQOTH9Z8 https://t.co/LpOwerhZT7,
136,ABD’deki Zeugma parçaları Türkiye’ye getiriliyor... https://t.co/dFGUofuQ7u,
137,İstanbul'da trafik yoğunluğu son 3 yılda... https://t.co/LdUn8C6f1l https://t.co/Rd2Bv2xUVi,
138,Benzin ve motorine yeni zam gündemde! https://t.co/4FEZ2GaPf6 https://t.co/BzQBiW5Olj,
